file	bytes	pages	words	sha256	text_file	text_sha256	source_file	source_sha256
fulcrum_v1n1_april_1992_ocr.pdf	1516771	30	9579	e66c3c199a11f3791c8951c3a5e4e2617ddb8b42dc98f920259f4d7054f966ba	fulcrum_v1n1_april_1992_ocr.txt	281b5cc7579b0714cb066afe90664ebcc28a13f45de26f9902b69fec98fb0d91	fulcrum_v1n1_april_1992.pdf	eaa509c11389423949a55b967b40db73ab19a00012f3226503f6ef5e11f7b526
fulcrum_v1n2_august_1992_ocr.pdf	6116430	36	10602	a0fa2d6c942ca113f6ca510edab920285a05434a1fd1dfb218faf9e8adf81729	fulcrum_v1n2_august_1992_ocr.txt	5b6b487b61ceae6f81da9777836941b5363a53e84475fd956353a65f3dc1d4d3	fulcrum_v1n2_august_1992.pdf	7fdd1c57063f93e56228b91cdd1311f72d08938863fb60bb04166d64cda274ee
fulcrum_v1n3_december_1992_ocr.pdf	6763705	35	10509	4bc2f94feb72ed9831d91cc59106cda2fb2298a6b0b09ff525b43a0bc9bdc7ce	fulcrum_v1n3_december_1992_ocr.txt	bac5ffb322fae347b3d7fc894e160c73969620fb0ca68d654be89d59666d73d8	fulcrum_v1n3_december_1992.pdf	0cf18675fdea0daaa2ee9bb24a43def33489d245794d8813819e74cc633b32af
fulcrum_v1n4_april_1993_ocr.pdf	1792209	36	10868	f2ee75b0d5dc50be6d77430316a9dc814011d034e11a80c5e0fa19d0a27e3b27	fulcrum_v1n4_april_1993_ocr.txt	190e8171bf590760340453b59c4d44b9bb3e5997265618d0e3bc9a9d0786e84a	fulcrum_v1n4_april_1993.pdf	60be7089edec741d099973d967c1c95076af46fa7d9987efc603b983d32fee08
fulcrum_v2n1_august_1993_ocr.pdf	2078828	36	11808	2757a0d13b2195905655a941419717ec95c1d6d0814ceeee19ad7f135c60bee8	fulcrum_v2n1_august_1993_ocr.txt	faac456cb0288c5fc05ad52e9ec23a2d04156399622e3abd4294943e74639324	fulcrum_v2n1_august_1993.pdf	d99bc2f89fa2d27db5e032f1a0630dc74d798e48738fa379bef5156ecdba8cc1
fulcrum_v2n2_december_1993_ocr.pdf	1864620	38	13586	8f95c0ca8a963f31bcddf99149e8b0532cc15594d8b44a314c0ee82d2456aeca	fulcrum_v2n2_december_1993_ocr.txt	18a8df5e466f92e8a6d80fafe961fce8ff15845b330607e4980d48da5ea59430	fulcrum_v2n2_december_1993.pdf	3833947b1e95d68b0a03bc3de9929d4d448f6220f08f96146d28056a5cf5da0c
fulcrum_v2n3_february_1994_ocr.pdf	3936261	40	13670	d98d1303cb8912e80a559e7e8f0c8d4a29b92f4e992a6a9e4c21275b7c40fa73	fulcrum_v2n3_february_1994_ocr.txt	e0a5d61f14682cc152159990b15ffa841033750c5a68e59eb3bf950dedbb0af4	fulcrum_v2n3_february_1994.pdf	c002b5cbbd4cfcfc09f4a7bb1ca7bb648f83bc5edb90a643d91b82f8dd32c8ee
fulcrum_v2n4_june_1994_ocr.pdf	2644872	36	19573	79ccc8da11cc053e428629f4b6b604dbc7688f74e379fbc0344dff83574a7531	fulcrum_v2n4_june_1994_ocr.txt	bf1a6b9972844fa3fc4b6d185804d6c8c733ac7fc9cc255b57bacdbdff39aa99	fulcrum_v2n4_june_1994.pdf	cf49f5a135fa80867585eb707cd65546a058d91a14f36cd5f0ae6a5d29ffa9e2
fulcrum_v3n1_september_1994_ocr.pdf	1905095	32	14677	d8be4a06330055f1225e846de75a92cda6f712754adf5e247023fe2ebfee3bb7	fulcrum_v3n1_september_1994_ocr.txt	72641ab26e2ddab1fa56fdad464eff7674baa2654d0b3db161db084aa9dedd3d	fulcrum_v3n1_september_1994.pdf	6bd8a60eeabc58a3411bc98ab20b4ac4c46bbe935a1d2148c1f423dbd231a9c4
fulcrum_v3n2_december_1994_ocr.pdf	6699201	49	21695	079b4d6db3a4240d337f7aae28458ea510c68417d448eb10bd76bdcc0b20bd24	fulcrum_v3n2_december_1994_ocr.txt	e36283cde9af407f1e9db44ca9ffd974a89afd5312785fc9fd320817f1f2d69d	fulcrum_v3n2_december_1994.pdf	ae5317246a993fda2ebe08b1aacd7ccdbd9df5d295df31a42416d262fe14b85b
